Linhas de Ouro - Normal - Hantec - XAU M1/M5/M15 - 01/05/2026 a 14/09/2026 - MT5 +6 convertido para BRT - Virada mira nivel 4.8 - COM VIRADA - COLUNAS EM BRT - M15 por 12 velas M5
DATA;XAU H1M1 00H;XAU H1M1 01H;XAU H1M1 02H;XAU H1M1 03H;XAU H1M1 04H;XAU H1M1 05H;XAU H1M1 06H;XAU H1M1 07H;XAU H1M1 08H;XAU H1M1 09H;XAU H1M1 10H;XAU H1M1 11H;XAU H1M1 12H;XAU H1M1 13H;XAU H1M1 14H;XAU H1M1 15H;XAU H1M1 16H;XAU H1M1 17H;XAU H1M1 18H;XAU H1M1 19H;XAU H1M1 20H;XAU H1M1 21H;XAU H1M1 22H;XAU H1M1 23H;XAU H1M5 00H;XAU H1M5 01H;XAU H1M5 02H;XAU H1M5 03H;XAU H1M5 04H;XAU H1M5 05H;XAU H1M5 06H;XAU H1M5 07H;XAU H1M5 08H;XAU H1M5 09H;XAU H1M5 10H;XAU H1M5 11H;XAU H1M5 12H;XAU H1M5 13H;XAU H1M5 14H;XAU H1M5 15H;XAU H1M5 16H;XAU H1M5 17H;XAU H1M5 18H;XAU H1M5 19H;XAU H1M5 20H;XAU H1M5 21H;XAU H1M5 22H;XAU H1M5 23H;XAU H1M15 00H;XAU H1M15 01H;XAU H1M15 02H;XAU H1M15 03H;XAU H1M15 04H;XAU H1M15 05H;XAU H1M15 06H;XAU H1M15 07H;XAU H1M15 08H;XAU H1M15 09H;XAU H1M15 10H;XAU H1M15 11H;XAU H1M15 12H;XAU H1M15 13H;XAU H1M15 14H;XAU H1M15 15H;XAU H1M15 16H;XAU H1M15 17H;XAU H1M15 18H;XAU H1M15 19H;XAU H1M15 20H;XAU H1M15 21H;XAU H1M15 22H;XAU H1M15 23H
13/05/2026;Take;Take;Stop;Stop;Stop;Take;Take;Take;Virada;Take;Stop;Take;Take;Stop;Take;Stop;Stop;Take;;Stop;Take;Stop;Stop;Virada;Take;Stop;Stop;Take;Stop;Stop;Stop;Stop;Stop;Stop;Virada;Stop;Stop;Stop;Take;Stop;Stop;Take;;Stop;Take;Stop;Take;Virada;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Take;Take;Stop;Take;Stop;Virada;Stop;Stop;Stop;;Stop;Stop;Stop;Take;Take
14/05/2026;Take;Take;Stop;Take;Take;Virada;Stop;Take;Stop;Virada;Take;Stop;Stop;Take;Take;Take;Take;Stop;;Stop;Stop;Take;Take;Stop;Virada;Stop;Virada;Virada;Stop;Take;Virada;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Stop;;Take;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;;Take;Take;Take;Take;Take
15/05/2026;Stop;Virada;Take;Take;Virada;Stop;Virada;Take;Take;Stop;Stop;Take;Stop;Take;Stop;Stop;Take;Stop;;;;;;;Take;Take;Take;Take;Take;Stop;Stop;Stop;Take;Take;Stop;Stop;Take;Stop;Take;Take;Take;Take;;;;;;;Take;Take;Take;Take;Take;Take;Stop;Stop;Take;Stop;Stop;Stop;Stop;Virada;Take;Take;Take;Take;;;;;;
17/05/2026;;;;;;;;;;;;;;;;;;;;Take;Take;Take;Stop;Take;;;;;;;;;;;;;;;;;;;;Stop;Take;Virada;Stop;Take;;;;;;;;;;;;;;;;;;;;Stop;Take;Stop;Stop;Virada
18/05/2026;Virada;Stop;Stop;Take;Virada;Stop;Virada;Stop;Virada;Take;Stop;Take;Stop;Stop;Stop;Take;Stop;Take;;Take;Virada;Take;Take;Take;Take;Stop;Stop;Take;Stop;Stop;Virada;Take;Take;Take;Stop;Stop;Stop;Take;Stop;Virada;Stop;Stop;;Virada;Take;Take;Take;Take;Virada;Virada;Virada;Virada;Stop;Stop;Stop;Stop;Stop;Take;Stop;Stop;Stop;Stop;Stop;Take;Stop;Stop;;Take;Take;Take;Take;Take
19/05/2026;Stop;Stop;Take;Stop;Stop;Take;Stop;Stop;Take;Virada;Take;Stop;Stop;Stop;Take;Virada;Take;Stop;;Stop;Stop;Virada;Stop;Take;Stop;Stop;Virada;Take;Take;Take;Stop;Stop;Take;Take;Stop;Virada;Stop;Take;Take;Take;Virada;Stop;;Take;Virada;Virada;Stop;Stop;Stop;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Virada;Virada;Virada;Take;Stop;Stop;Stop;;Virada;Stop;Virada;Stop;Take
20/05/2026;Take;Stop;Take;Virada;Take;Take;Take;Take;Stop;Stop;Take;Take;Virada;Stop;Stop;Take;Stop;Stop;;Stop;Take;Virada;Virada;Take;Take;Stop;Take;Stop;Stop;Take;Stop;Virada;Virada;Take;Virada;Virada;Stop;Take;Take;Take;Stop;Stop;;Virada;Stop;Virada;Stop;Take;Take;Take;Take;Take;Stop;Stop;Take;Virada;Virada;Virada;Take;Stop;Stop;Take;Take;Virada;Virada;Virada;;Virada;Virada;Virada;Stop;Stop
21/05/2026;Stop;Stop;Take;Stop;Virada;Take;Take;Take;Stop;Take;Take;Take;Stop;Take;Take;Take;Stop;Take;;Take;Take;Take;Stop;Stop;Stop;Stop;Stop;Stop;Virada;Stop;Take;Take;Stop;Stop;Take;Stop;Stop;Take;Stop;Take;Take;Take;;Take;Take;Take;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Virada;Stop;Stop;Stop;Stop;Take;Take;Stop;Virada;Take;;Take;Take;Virada;Virada;Stop
22/05/2026;Virada;Virada;Stop;Virada;Stop;Stop;Virada;Virada;Take;Take;Take;Virada;Take;Stop;Stop;Stop;Take;Take;;;;;;;Virada;Stop;Stop;Stop;Stop;Stop;Stop;Take;Take;Virada;Virada;Stop;Take;Stop;Stop;Virada;Take;Take;;;;;;;Stop;Stop;Stop;Virada;Stop;Virada;Virada;Stop;Stop;Virada;Stop;Stop;Stop;Take;Take;Take;Take;Take;;;;;;
24/05/2026;;;;;;;;;;;;;;;;;;;;Virada;Take;Stop;Stop;Stop;;;;;;;;;;;;;;;;;;;;Take;Stop;Stop;Take;Virada;;;;;;;;;;;;;;;;;;;;Take;Take;Stop;Take;Take
25/05/2026;Stop;Virada;Take;Take;Stop;Take;Take;Take;Take;Stop;Virada;Take;Take;Take;Take;Take;;;;Virada;Virada;Take;Take;Virada;Stop;Virada;Take;Take;Stop;Virada;Take;Stop;Stop;Take;Take;Virada;Take;Take;Stop;Virada;;;;Virada;Take;Take;Take;Stop;Stop;Stop;Virada;Virada;Virada;Stop;Take;Stop;Stop;Take;Take;Virada;Take;Take;Take;;;;;Take;Take;Take;Take;Stop
26/05/2026;Virada;Take;Stop;Stop;Take;Take;Stop;Take;Take;Stop;Take;Virada;Take;Stop;Take;Take;Take;Virada;;Take;Virada;Take;Take;Stop;Stop;Take;Stop;Virada;Take;Stop;Virada;Stop;Take;Stop;Take;Stop;Virada;Virada;Take;Take;Take;Take;;Take;Stop;Take;Take;Take;Take;Take;Take;Stop;Stop;Stop;Stop;Take;Take;Take;Stop;Stop;Stop;Stop;Virada;Virada;Stop;Stop;;Take;Take;Take;Take;Take
27/05/2026;Stop;Take;Virada;Take;Stop;Virada;Take;Take;Stop;Take;Take;Take;Take;Take;Virada;Stop;Stop;Take;;Take;Take;Take;Take;Take;Stop;Virada;Take;Take;Virada;Take;Take;Take;Stop;Virada;Virada;Virada;Virada;Virada;Virada;Stop;Stop;Take;;Take;Stop;Take;Virada;Virada;Take;Take;Take;Take;Take;Take;Take;Virada;Virada;Virada;Take;Virada;Virada;Take;Take;Take;Stop;Take;;Take;Take;Take;Virada;Virada
28/05/2026;Take;Take;Take;Stop;Stop;Virada;Take;Take;Stop;Virada;Virada;Take;Take;Take;Stop;Stop;Take;Stop;;Stop;Take;Take;Take;Stop;Stop;Take;Take;Take;Take;Stop;Virada;Virada;Take;Virada;Take;Virada;Take;Take;Stop;Stop;Virada;Stop;;Take;Take;Take;Stop;Stop;Take;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Virada;Take;Stop;Take;Take;Virada;Take;;Take;Take;Take;Stop;Take
29/05/2026;Virada;Take;Stop;Stop;Stop;Virada;Take;Virada;Take;Stop;Take;Take;Virada;Stop;Stop;Stop;Take;Take;;;;;;;Take;Take;Take;Take;Stop;Stop;Take;Virada;Stop;Stop;Take;Virada;Take;Take;Take;Take;Take;Take;;;;;;;Take;Take;Take;Take;Take;Take;Virada;Take;Take;Virada;Virada;Take;Take;Take;Take;Take;Take;Take;;;;;;
31/05/2026;;;;;;;;;;;;;;;;;;;;Take;Virada;Take;Take;Stop;;;;;;;;;;;;;;;;;;;;Take;Take;Take;Take;Take;;;;;;;;;;;;;;;;;;;;Take;Take;Take;Take;Take
01/06/2026;Take;Stop;Take;Take;Stop;Stop;Virada;Take;Stop;Stop;Take;Take;Take;Stop;Take;Take;Stop;Stop;;Stop;Stop;Virada;Take;Take;Take;Take;Take;Take;Stop;Take;Stop;Stop;Take;Take;Stop;Take;Take;Stop;Stop;Stop;Stop;Stop;;Stop;Stop;Stop;Stop;Take;Take;Take;Take;Take;Stop;Take;Virada;Take;Take;Take;Take;Take;Stop;Take;Stop;Stop;Virada;Stop;;Virada;Stop;Virada;Stop;Take
02/06/2026;Take;Take;Take;Take;Stop;Take;Take;Stop;Take;Stop;Take;Take;Take;Take;Take;Stop;Stop;Stop;;Take;Take;Take;Take;Take;Take;Virada;Take;Stop;Take;Take;Take;Stop;Take;Stop;Take;Take;Take;Take;Stop;Stop;Stop;Take;;Take;Stop;Take;Stop;Take;Take;Virada;Virada;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Stop;Take;Take;;Stop;Stop;Stop;Stop;Take
03/06/2026;Take;Take;Virada;Stop;Take;Stop;Stop;Take;Stop;Stop;Take;Virada;Take;Stop;Virada;Stop;Virada;Take;;Stop;Take;Virada;Take;Virada;Take;Take;Take;Stop;Take;Stop;Virada;Stop;Take;Take;Take;Virada;Stop;Stop;Virada;Virada;Virada;Virada;;Take;Take;Take;Stop;Take;Take;Stop;Virada;Virada;Virada;Take;Stop;Stop;Take;Virada;Virada;Virada;Stop;Take;Take;Stop;Virada;Take;;Virada;Stop;Stop;Stop;Virada
04/06/2026;Stop;Take;Take;Stop;Stop;Take;Take;Stop;Take;Stop;Take;Take;Virada;Stop;Take;Stop;Take;Take;;Virada;Take;Stop;Stop;Virada;Stop;Stop;Virada;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Stop;;Take;Take;Stop;Stop;Virada;Stop;Stop;Stop;Stop;Take;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;;Take;Stop;Stop;Take;Virada
05/06/2026;Stop;Virada;Virada;Virada;Take;Virada;Stop;Stop;Stop;Virada;Take;Take;Take;Stop;Take;Take;Stop;Take;;;;;;;Virada;Virada;Virada;Virada;Take;Virada;Take;Virada;Virada;Take;Take;Take;Take;Stop;Stop;Stop;Stop;Take;;;;;;;Take;Take;Virada;Take;Take;Take;Take;Virada;Take;Take;Take;Take;Take;Stop;Stop;Stop;Stop;Virada;;;;;;
07/06/2026;;;;;;;;;;;;;;;;;;;;Stop;Stop;Virada;Take;Take;;;;;;;;;;;;;;;;;;;;Stop;Virada;Take;Stop;Stop;;;;;;;;;;;;;;;;;;;;Stop;Stop;Take;Take;Stop
08/06/2026;Virada;Take;Take;Virada;Virada;Stop;Take;Take;Take;Stop;Stop;Stop;Stop;Stop;Take;Take;Take;Stop;;Take;Stop;Take;Take;Stop;Take;Take;Take;Virada;Virada;Stop;Virada;Take;Virada;Virada;Stop;Stop;Stop;Stop;Take;Take;Stop;Stop;;Stop;Take;Take;Take;Stop;Virada;Virada;Take;Virada;Virada;Virada;Virada;Take;Take;Virada;Take;Virada;Take;Take;Stop;Stop;Virada;Virada;;Stop;Virada;Take;Virada;Virada
09/06/2026;Virada;Stop;Take;Take;Stop;Take;Stop;Stop;Stop;Stop;Virada;Take;Take;Take;Stop;Virada;Take;Virada;;Take;Take;Take;Stop;Stop;Virada;Stop;Stop;Stop;Virada;Virada;Take;Virada;Virada;Virada;Virada;Take;Take;Take;Take;Take;Take;Take;;Take;Take;Take;Take;Virada;Stop;Virada;Take;Take;Virada;Virada;Virada;Virada;Stop;Stop;Take;Take;Take;Take;Take;Take;Take;Take;;Take;Take;Take;Take;Virada
10/06/2026;Take;Stop;Take;Virada;Take;Take;Stop;Take;Stop;Virada;Virada;Take;Take;Take;Take;Take;Take;Take;;Virada;Stop;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Stop;Stop;Virada;Take;Take;Take;Take;Take;Take;Take;;Take;Take;Take;Take;Stop;Virada;Virada;Take;Take;Take;Take;Stop;Stop;Take;Virada;Virada;Virada;Virada;Take;Virada;Take;Stop;Stop;;Take;Take;Take;Take;Take
11/06/2026;Virada;Take;Take;Virada;Take;Take;Virada;Stop;Virada;Stop;Stop;Stop;Take;Take;Take;Take;Take;Take;;Virada;Take;Take;Take;Virada;Stop;Stop;Take;Stop;Stop;Take;Stop;Take;Take;Stop;Stop;Take;Take;Take;Take;Take;Take;Stop;;Virada;Virada;Stop;Take;Stop;Stop;Stop;Take;Stop;Virada;Virada;Stop;Take;Stop;Take;Take;Take;Take;Take;Stop;Take;Stop;Stop;;Take;Virada;Virada;Take;Stop
12/06/2026;Virada;Virada;Take;Take;Virada;Take;Virada;Take;Take;Virada;Stop;Take;Take;Take;Stop;Take;Take;Take;;;;;;;Virada;Virada;Virada;Take;Take;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Virada;Virada;Take;;;;;;;Stop;Virada;Take;Take;Take;Take;Take;Stop;Virada;Take;Take;Take;Take;Take;Take;Take;Take;Take;;;;;;
14/06/2026;;;;;;;;;;;;;;;;;;;;Stop;Take;Take;Take;Stop;;;;;;;;;;;;;;;;;;;;Stop;Take;Take;Take;Virada;;;;;;;;;;;;;;;;;;;;Stop;Take;Take;Stop;Stop
15/06/2026;Stop;Virada;Stop;Take;Take;Take;Stop;Stop;Take;Stop;Take;Stop;Take;Take;Take;Stop;Take;Take;;Stop;Stop;Stop;Stop;Stop;Virada;Virada;Take;Take;Take;Take;Virada;Virada;Virada;Stop;Virada;Take;Take;Stop;Stop;Stop;Stop;Stop;;Take;Stop;Take;Stop;Take;Virada;Virada;Stop;Take;Take;Stop;Virada;Virada;Stop;Virada;Stop;Take;Take;Stop;Virada;Stop;Stop;Take;;Take;Take;Take;Take;Take
16/06/2026;Take;Take;Virada;Take;Take;Take;Stop;Virada;Take;Stop;Take;Stop;Take;Virada;Take;Stop;Stop;Stop;;Virada;Virada;Stop;Virada;Take;Stop;Virada;Virada;Take;Take;Virada;Stop;Stop;Stop;Virada;Stop;Virada;Take;Stop;Virada;Take;Stop;Stop;;Stop;Stop;Take;Stop;Take;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Stop;Virada;Virada;Virada;Stop;Virada;Stop;Virada;Virada;;Stop;Stop;Take;Stop;Virada
17/06/2026;Take;Take;Stop;Stop;Take;Virada;Take;Stop;Take;Take;Take;Take;Take;Virada;Take;Take;Stop;Take;;Take;Take;Virada;Take;Stop;Stop;Stop;Stop;Take;Stop;Take;Stop;Virada;Stop;Take;Take;Stop;Stop;Virada;Virada;Take;Take;Virada;;Take;Virada;Virada;Take;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;Virada;Take;Stop;Virada;Take;Take;Take;Virada;;Take;Virada;Take;Take;Take
18/06/2026;Take;Stop;Virada;Take;Take;Take;Stop;Take;Virada;Take;Take;Take;Take;Stop;Virada;Take;Stop;Take;;Take;Take;Take;Take;Take;Virada;Take;Take;Take;Take;Take;Stop;Stop;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Take;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;;Take;Take;Take;Take;Take
19/06/2026;Take;Virada;Take;Stop;Take;Take;Take;Virada;Take;Take;Virada;Stop;Stop;Stop;;;;;;;;;;;Take;Virada;Take;Take;Stop;Virada;Stop;Virada;Take;Stop;Virada;Take;Stop;Stop;;;;;;;;;;;Virada;Virada;Take;Take;Stop;Virada;Stop;Stop;Stop;Virada;Virada;Take;Stop;;;;;;;;;;;
21/06/2026;;;;;;;;;;;;;;;;;;;;Take;Take;Take;Take;Virada;;;;;;;;;;;;;;;;;;;;Take;Virada;Virada;Take;Stop;;;;;;;;;;;;;;;;;;;;Take;Virada;Take;Take;Take
22/06/2026;Take;Take;Take;Take;Virada;Take;Take;Stop;Take;Take;Virada;Stop;Take;Stop;Take;Take;Take;Take;;Take;Take;Stop;Take;Stop;Stop;Take;Take;Stop;Virada;Take;Take;Take;Take;Take;Stop;Take;Take;Virada;Stop;Stop;Stop;Take;;Take;Take;Take;Take;Take;Stop;Take;Take;Take;Stop;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Stop;;Stop;Take;Take;Take;Take
23/06/2026;Take;Take;Stop;Take;Stop;Take;Take;Stop;Stop;Take;Take;Stop;Virada;Stop;Virada;Take;Take;Take;;Take;Take;Take;Take;Take;Take;Take;Stop;Stop;Stop;Take;Take;Stop;Virada;Virada;Virada;Take;Take;Take;Take;Take;Take;Take;;Take;Stop;Take;Take;Take;Take;Take;Stop;Stop;Take;Stop;Virada;Stop;Take;Virada;Take;Take;Take;Take;Take;Take;Take;Take;;Take;Take;Take;Take;Stop
24/06/2026;Stop;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Stop;Take;Stop;Virada;Take;Take;Take;Stop;;Virada;Take;Take;Virada;Stop;Virada;Take;Take;Take;Take;Stop;Take;Take;Take;Take;Stop;Stop;Stop;Virada;Take;Take;Take;Virada;;Stop;Stop;Stop;Take;Take;Virada;Virada;Take;Take;Take;Take;Take;Take;Take;Stop;Stop;Stop;Stop;Stop;Stop;Take;Stop;Virada;;Stop;Stop;Stop;Stop;Take
25/06/2026;Stop;Stop;Virada;Stop;Stop;Virada;Take;Take;Stop;Take;Virada;Stop;Stop;Stop;Stop;Stop;Stop;Take;;Virada;Virada;Virada;Take;Take;Take;Stop;Stop;Take;Take;Take;Virada;Virada;Take;Take;Virada;Stop;Stop;Take;Stop;Take;Take;Take;;Virada;Stop;Virada;Virada;Virada;Stop;Stop;Take;Take;Take;Stop;Virada;Take;Take;Stop;Stop;Virada;Stop;Virada;Take;Virada;Virada;Take;;Virada;Virada;Virada;Virada;Stop
26/06/2026;Take;Take;Virada;Take;Take;Take;Take;Stop;Stop;Stop;Stop;Stop;Virada;Stop;Virada;Virada;Stop;Take;;;;;;;Take;Take;Take;Take;Take;Take;Stop;Stop;Stop;Stop;Stop;Take;Stop;Take;Stop;Stop;Take;Virada;;;;;;;Take;Take;Take;Virada;Take;Take;Virada;Take;Take;Virada;Take;Take;Take;Take;Take;Virada;Stop;Take;;;;;;
28/06/2026;;;;;;;;;;;;;;;;;;;;Take;Take;Stop;Take;Take;;;;;;;;;;;;;;;;;;;;Take;Take;Stop;Take;Take;;;;;;;;;;;;;;;;;;;;Take;Take;Take;Take;Take
29/06/2026;Take;Take;Virada;Virada;Virada;Take;Stop;Stop;Stop;Take;Take;Take;Virada;Stop;Take;Virada;Stop;Take;;Stop;Stop;Take;Take;Virada;Take;Take;Virada;Take;Take;Take;Take;Virada;Virada;Take;Take;Stop;Take;Take;Take;Take;Take;Stop;;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Stop;Virada;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Take;;Take;Take;Stop;Take;Take
30/06/2026;Take;Take;Stop;Take;Virada;Take;Stop;Take;Virada;Take;Take;Take;Take;Virada;Stop;Stop;Take;Take;;Take;Virada;Take;Take;Stop;Take;Take;Take;Take;Stop;Virada;Stop;Virada;Virada;Virada;Virada;Virada;Take;Take;Take;Take;Take;Take;;Take;Take;Take;Take;Take;Take;Stop;Take;Take;Stop;Virada;Stop;Stop;Virada;Stop;Virada;Virada;Take;Take;Take;Take;Take;Take;;Take;Take;Virada;Take;Take
01/07/2026;Stop;Stop;Stop;Stop;Take;Take;Take;Take;Take;Virada;Take;Take;Take;Take;Take;Take;Take;Take;;Stop;Take;Take;Take;Take;Virada;Stop;Stop;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;Take;;Take;Take;Take;Take;Take;Virada;Stop;Virada;Take;Take;Take;Take;Take;Take;Take;Take;Virada;Virada;Virada;Take;Stop;Take;Take;;Take;Take;Take;Take;Take
02/07/2026;Take;Take;Stop;Take;Virada;Stop;Take;Stop;Take;Take;Virada;Take;Stop;Take;Virada;Take;Stop;Take;;Stop;Stop;Take;Take;Stop;Take;Stop;Take;Take;Take;Take;Virada;Stop;Take;Take;Take;Virada;Take;Virada;Stop;Take;Take;Take;;Stop;Stop;Take;Take;Stop;Take;Take;Take;Stop;Take;Take;Take;Take;Take;Stop;Virada;Virada;Take;Stop;Take;Take;Take;Take;;Stop;Take;Stop;Take;Stop
03/07/2026;Take;Stop;Stop;Stop;Stop;Stop;Take;Virada;Take;Take;Virada;Virada;Virada;Take;;;;;;;;;;;Take;Stop;Take;Stop;Virada;Stop;Stop;Virada;Stop;Stop;Virada;Take;Virada;Take;;;;;;;;;;;Stop;Stop;Stop;Virada;Stop;Stop;Virada;Virada;Stop;Stop;Virada;Virada;Take;;;;;;;;;;;
05/07/2026;;;;;;;;;;;;;;;;;;;;Virada;Take;Virada;Take;Take;;;;;;;;;;;;;;;;;;;;Virada;Virada;Virada;Take;Take;;;;;;;;;;;;;;;;;;;;Take;Take;Take;Take;Take
